x,y,w,h
0.442361,0.451724,0.318056,0.081034
0.478472,0.428879,0.376389,0.059483
0.399306,0.478017,0.384722,0.064655
0.424306,0.424138,0.368056,0.062069
0.517361,0.480603,0.384722,0.078448
0.555556,0.461207,0.383333,0.067241
0.721528,0.446552,0.398611,0.060345
0.500694,0.443534,0.393056,0.076724
0.459028,0.461207,0.381944,0.065517
0.620139,0.605603,0.376389,0.073276
0.463194,0.402155,0.404167,0.069828
0.532639,0.432759,0.390278,0.074138
0.4125,0.57931,0.372222,0.074138
0.471528,0.482328,0.404167,0.076724
0.411806,0.377586,0.415278,0.074138
0.517361,0.438362,0.206944,0.131897
0.697917,0.42931,0.290278,0.096552
0.49375,0.440517,0.270833,0.082759
0.551389,0.463362,0.4,0.073276
0.513889,0.396983,0.402778,0.059483
0.280556,0.328879,0.377778,0.081897
0.470139,0.503879,0.365278,0.083621
0.547917,0.4625,0.379167,0.05431
0.568056,0.426724,0.372222,0.077586
0.422917,0.424569,0.3875,0.069828
0.519444,0.375,0.391667,0.072414
0.529861,0.477155,0.370833,0.083621
0.424306,0.447414,0.3625,0.063793
0.495833,0.512069,0.4,0.075862
0.484028,0.487069,0.373611,0.068966
0.549306,0.56681,0.393056,0.076724
0.422917,0.472845,0.393056,0.064655
0.443056,0.395259,0.419444,0.064655
0.643056,0.415948,0.355556,0.066379
0.517361,0.518534,0.384722,0.071552
0.469444,0.433621,0.388889,0.072414
0.45625,0.468534,0.373611,0.059483
0.434028,0.560345,0.273611,0.098276
0.355556,0.423707,0.305556,0.090517
0.633333,0.419397,0.277778,0.090517
0.508333,0.452155,0.402778,0.064655
0.630556,0.40819,0.436111,0.056034
0.483333,0.500862,0.430556,0.062069
0.476389,0.429741,0.222222,0.114655
0.59375,0.459052,0.301389,0.076724
0.320139,0.432759,0.3125,0.077586
0.504167,0.449569,0.341667,0.080172
0.388889,0.444397,0.325,0.083621
0.48125,0.469397,0.306944,0.066379
0.480556,0.448276,0.341667,0.077586
0.407639,0.506034,0.323611,0.082759
0.415278,0.462069,0.288889,0.081034
0.398611,0.423276,0.291667,0.086207
0.608333,0.474569,0.308333,0.071552
0.742361,0.580172,0.309722,0.075862
0.564583,0.439655,0.309722,0.086207
0.480556,0.477155,0.316667,0.085345
0.383333,0.389655,0.3,0.087931
0.576389,0.471121,0.297222,0.090517
0.425694,0.474569,0.295833,0.076724
0.460417,0.400431,0.3125,0.071552
0.510417,0.46681,0.259722,0.109483
0.370139,0.384052,0.245833,0.090517
0.527778,0.389655,0.297222,0.081034
0.464583,0.447845,0.290278,0.076724
0.49375,0.418966,0.420833,0.072414
0.508333,0.463793,0.430556,0.055172
0.498611,0.464655,0.3,0.084483
0.309028,0.385345,0.301389,0.086207
0.538889,0.44569,0.291667,0.087931
0.577083,0.419828,0.270833,0.096552
0.536806,0.498276,0.279167,0.084483
0.480556,0.553017,0.291667,0.078448
0.590972,0.444397,0.304167,0.085345
0.481944,0.459483,0.3,0.084483
0.620833,0.472414,0.322222,0.07931
0.438194,0.295259,0.293056,0.075
0.252083,0.368534,0.295833,0.088793
0.422222,0.601293,0.288889,0.085345
0.454167,0.476293,0.291667,0.09569
0.452083,0.45431,0.284722,0.086207
0.438889,0.510776,0.288889,0.090517
0.522222,0.445259,0.3,0.090517
0.48125,0.500862,0.398611,0.063793
0.447222,0.45819,0.344444,0.078448
0.589583,0.382328,0.376389,0.069828
0.517361,0.542241,0.3375,0.072414
0.474306,0.446983,0.379167,0.071552
0.361806,0.502586,0.368056,0.067241
0.382639,0.440517,0.351389,0.07931
0.426389,0.531466,0.361111,0.071552
0.577083,0.428448,0.359722,0.084483
0.440278,0.537931,0.35,0.077586
0.530556,0.425862,0.344444,0.077586
0.563889,0.464224,0.344444,0.069828
0.347917,0.521121,0.343056,0.075
0.396528,0.428448,0.359722,0.062069
0.563194,0.401293,0.431944,0.078448
0.510417,0.412931,0.4375,0.068966
0.447222,0.437069,0.358333,0.075862
0.502083,0.468103,0.3625,0.065517
0.495833,0.424138,0.336111,0.086207
0.582639,0.355603,0.351389,0.078448
0.323611,0.421121,0.355556,0.075
0.60625,0.409914,0.345833,0.066379
0.368056,0.484052,0.366667,0.071552
0.505556,0.338793,0.344444,0.074138
0.552778,0.300431,0.35,0.078448
0.627778,0.465517,0.333333,0.082759
0.460417,0.406897,0.393056,0.062069
0.359722,0.494828,0.35,0.062069
0.574306,0.501724,0.354167,0.067241
0.472917,0.471552,0.359722,0.091379
0.397222,0.484052,0.316667,0.085345
0.575,0.5125,0.305556,0.078448
0.34375,0.503879,0.295833,0.076724
0.365278,0.367241,0.313889,0.077586
0.392361,0.521983,0.381944,0.066379
0.527083,0.441379,0.304167,0.07931
0.457639,0.45819,0.348611,0.075
0.431944,0.464655,0.375,0.056897
0.479167,0.42931,0.358333,0.082759
0.431944,0.419397,0.35,0.075
0.470833,0.473707,0.344444,0.068103
0.4375,0.467241,0.377778,0.07069
0.536806,0.439655,0.356944,0.062069
0.409028,0.559483,0.381944,0.074138
0.549306,0.518534,0.423611,0.064655
0.352083,0.457759,0.3625,0.077586
0.495139,0.365948,0.356944,0.075
0.529861,0.463793,0.420833,0.058621
0.404167,0.395259,0.358333,0.078448
0.416667,0.496983,0.344444,0.083621
0.447222,0.474569,0.355556,0.078448
0.481944,0.516379,0.372222,0.065517
0.493056,0.45,0.391667,0.062069
0.474306,0.464224,0.351389,0.083621
0.516667,0.430603,0.375,0.064655
0.541667,0.435776,0.375,0.064655
0.55,0.52931,0.388889,0.077586
0.545833,0.303879,0.372222,0.080172
0.445139,0.348707,0.365278,0.068103
0.433333,0.45819,0.352778,0.081897
0.455556,0.472845,0.363889,0.080172
0.399306,0.297845,0.401389,0.069828
0.454861,0.460345,0.348611,0.074138
0.386806,0.452586,0.423611,0.063793
0.429167,0.478448,0.358333,0.065517
0.5,0.402586,0.363889,0.077586
0.513194,0.428879,0.3375,0.068103
0.546528,0.488793,0.359722,0.07931
0.475694,0.435345,0.368056,0.074138
0.513889,0.453879,0.361111,0.062931
0.617361,0.55819,0.3625,0.068103
0.327083,0.354741,0.354167,0.081897
0.455556,0.386638,0.35,0.078448
0.463194,0.500862,0.351389,0.077586
0.560417,0.368103,0.373611,0.063793
0.446528,0.472845,0.370833,0.073276
0.497222,0.440948,0.358333,0.080172
0.374306,0.480172,0.354167,0.056897
